,FeatureTyp,SegmentTyp,TrafDir,SegmentID,XFrom,YFrom,XTo,YTo,SegmentID_,SpatialJoi,D_Busstop,D_Subway,NodeIDFrom,NodeIDTo,X,Y,SVIID,ID,SegDir1,SegDir2,StreetWidt,Length,Commercial,CulturalFa,EducationF,Government,HealthServ,Miscellane,PublicSafe,Recreation,ReligiousI,Residentia,SocialServ,Transporta,Water,Avg_B01001,Avg_B010_1,Avg_B010_2,Avg_B010_3,Avg_B02001,Avg_B020_1,Avg_B020_2,Avg_B08006,Avg_B080_1,Avg_B080_2,Avg_B08013,Avg_B08124,Avg_B15003,Avg_B19001,Avg_B19013,Avg_B23013,Avg_B24011,Avg_B240_1,Avg_B240_2,Avg_B240_3,Avg_B240_4,Avg_B240_5,Avg_B240_6,Avg_B240_7,Avg_B240_8,Avg_B240_9,Avg_B24_10,Avg_B24_11,Avg_B24_12,Avg_B24_13,Avg_B24_14,Avg_B24_15,Avg_B24_16,Avg_B24_17,Avg_B24_18,Avg_B24_20,Avg_B24_21,Avg_B24_22,Avg_B24_23,Avg_B24_24,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Masks
27,0,U,T,69696,1003693,238130,1003968,239068,69696,965,0.391162,0.295623,42788,42796,-73.9293,40.8216,17,27,EB,NB,40.0,0.297885,11.0,101.0,24.0,27.0,9.0,1.0,0.0,7.0,16.0,36.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,35.4,18.8,17.4,21.8,34.0,78.6,159.2,240.6,244.6,238.6,218.6,247.6,232.8,260.2,300.8,352.0,350.0,299.2,209.6,183.2,142.4,95.0,83.4,Train
43,0,U,T,69766,1004028,234042,1004144,234252,69766,1068,0.144503,0.19335,42833,42834,-73.9283,40.8093,27,43,EB,NB,62.0,0.0731166,10.0,83.0,21.0,24.0,5.0,0.0,2.0,3.0,13.0,50.0,6.0,4.0,6.0,44099.51836705,20208.994304500004,23890.52406255,27746.454646225,6101.63984557,18230.858912125,0.0,12236.72642485,931.7304384425,398.971751845,512344.23378325,0.0,1079.8516876275,18768.395703525,168784.16344925,343.5457360225,343959.04208575,0.0,0.0,0.0,0.0,402603.111502,0.0,184549.52027825,0.0,0.0,0.0,179026.03111500002,105144.58545165,0.0,186745.05943975,151556.70654775,96285.97912925,120346.12591257502,279789.09445375,139589.94304500002,0.0,145956.76770775,35854.89851305,0.0,73.6,50.8,34.2,30.6,31.8,47.8,87.6,142.8,189.4,206.8,223.4,237.8,242.2,245.8,258.8,251.4,249.2,220.0,208.8,195.4,168.0,144.6,100.4,98.0,Train
44,0,U,T,69766,1004144,234252,1004028,234042,69766,1068,0.144503,0.19335,42834,42833,-73.9283,40.8093,27,44,WB,SB,62.0,0.0731166,10.0,83.0,21.0,24.0,5.0,0.0,2.0,3.0,13.0,50.0,6.0,4.0,6.0,44099.51836705,20208.994304500004,23890.52406255,27746.454646225,6101.63984557,18230.858912125,0.0,12236.72642485,931.7304384425,398.971751845,512344.23378325,0.0,1079.8516876275,18768.395703525,168784.16344925,343.5457360225,343959.04208575,0.0,0.0,0.0,0.0,402603.111502,0.0,184549.52027825,0.0,0.0,0.0,179026.03111500002,105144.58545165,0.0,186745.05943975,151556.70654775,96285.97912925,120346.12591257502,279789.09445375,139589.94304500002,0.0,145956.76770775,35854.89851305,0.0,22.0,17.0,15.6,14.6,15.0,18.2,52.4,99.0,122.2,101.6,95.8,88.2,98.4,99.6,98.4,103.2,103.4,90.4,92.8,85.4,68.2,57.6,48.6,30.6,Train
83,0,U,A,111203,1003231,235698,1003060,235211,111203,1815,0.36546,0.139293,66354,42586,-73.9317,40.8129,54,83,WB,SB,26.0,0.157453,10.0,94.0,22.0,15.0,10.0,0.0,1.0,7.0,15.0,75.0,8.0,8.0,9.0,11128.612317575,4518.15195096,6610.460366622499,7928.92812294,1031.461030755,3556.238625035,57.7931631675,3366.6966407475,249.2942377275,66.119296845,133734.8488855,0.0,419.73509181250006,4052.3782376425,36264.720114575,70.5272499625,40100.12910405,0.0,0.0,0.0,0.0,72687.146996425,0.0,46459.33614265,0.0,0.0,0.0,26291.9710603,24400.9591706,66350.95926855,39447.2622693,54647.3539547,28315.2215437,35390.965851075,67405.439610075,11079.635060664998,0.0,0.0,25729.2223783025,11398.9667758,563.0,341.8,262.8,272.6,488.0,885.4,975.6,1125.0,1190.8,1069.2,919.8,1058.8,1130.8,1210.2,1312.2,1313.2,1482.4,1454.6,1442.6,1307.0,1228.8,1252.8,1080.6,867.2,Train
87,0,U,T,119264,1007099,249748,1006944,249981,119264,1882,0.0586033,0.624264,44132,70041,-73.9177,40.8525,57,87,WB,NB,42.0,0.0853614,7.0,23.0,15.0,12.0,5.0,6.0,1.0,4.0,11.0,76.0,3.0,5.0,2.0,33536.0480345625,14690.1462827375,18845.901751825,25137.1787542875,2493.8846821075,9822.76234255,246.6670541325,11494.48188952,2210.1293879775003,455.2540544125,469105.79287325,0.0,1533.0146002675,11119.284059435,175383.556455,318.481921225,231787.676647525,303909.45187575,87179.474579125,0.0,0.0,147587.8705865,0.0,93102.0060179125,71692.802306625,266182.29530075,0.0,156560.04026275,129218.6248276625,0.0,93610.29798035,110203.79551475,72790.63185450001,158614.6181138,197873.57997275,104763.6736715,91218.905717125,162663.39203225,222505.453365375,169982.26668075,111.2,72.4,48.2,38.8,51.8,67.8,171.0,287.0,308.2,263.4,226.6,229.6,248.6,250.8,282.8,354.8,404.2,413.4,387.8,336.6,293.4,236.2,204.2,172.8,Train
88,0,U,T,119264,1006944,249981,1007099,249748,119264,1882,0.0586033,0.624264,70041,44132,-73.9177,40.8525,57,88,EB,SB,42.0,0.0853614,7.0,23.0,15.0,12.0,5.0,6.0,1.0,4.0,11.0,76.0,3.0,5.0,2.0,33536.0480345625,14690.1462827375,18845.901751825,25137.1787542875,2493.8846821075,9822.76234255,246.6670541325,11494.48188952,2210.1293879775003,455.2540544125,469105.79287325,0.0,1533.0146002675,11119.284059435,175383.556455,318.481921225,231787.676647525,303909.45187575,87179.474579125,0.0,0.0,147587.8705865,0.0,93102.0060179125,71692.802306625,266182.29530075,0.0,156560.04026275,129218.6248276625,0.0,93610.29798035,110203.79551475,72790.63185450001,158614.6181138,197873.57997275,104763.6736715,91218.905717125,162663.39203225,222505.453365375,169982.26668075,101.44444444444444,65.22222222222223,45.44444444444444,38.333333333333336,38.55555555555556,53.333333333333336,119.77777777777776,214.8108108108108,246.0,210.22222222222223,212.88888888888889,221.77777777777777,236.33333333333331,217.0,263.44444444444446,275.55555555555554,261.55555555555554,268.22222222222223,265.55555555555554,242.44444444444449,224.33333333333331,182.88888888888889,166.33333333333334,126.0,Train
264,0,U,T,69628,1003469,235619,1003337,235697,69628,5804,0.329638,0.0630224,42751,42748,-73.9308,40.8135,198,264,WB,NB,104.0,0.0466677,11.0,103.0,22.0,25.0,5.0,0.0,2.0,5.0,16.0,58.0,7.0,6.0,6.0,5564.3061587875,2259.0759754825,3305.2301833125,3964.46406147,515.7305153750001,1778.1193125175,28.8965815825,1683.3483203750002,124.647118865,33.05964842,66867.42444275,0.0,209.8675459075,2026.18911882,18132.3600572875,35.2636249825,20050.064552025,0.0,0.0,0.0,0.0,36343.5734982125,0.0,23229.668071325,0.0,0.0,0.0,13145.98553015,12200.4795853,33175.479634275,19723.63113465,27323.67697735,14157.61077185,17695.4829255375,33702.7198050375,5539.817530332499,0.0,0.0,12864.61118915,5699.4833879,235.3,150.5,119.6,131.9,180.3,262.6,628.9,781.3,830.0,839.3,767.4,713.9,751.4,793.6,905.9,1069.6,1038.6,1069.7,933.5,762.3,664.7,471.9,374.2,294.6,Train
268,0,U,T,122441,1003044,241032,1002928,241020,122441,5886,0.414488,0.526703,43630,71593,-73.9323,40.8282,201,268,WB,SB,40.0,0.0355398,39.0,18.0,15.0,7.0,6.0,1.0,0.0,3.0,8.0,47.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.75,205.16666666666663,192.66666666666663,293.5,633.75,1441.0833333333333,1886.9166666666667,1759.5833333333333,1541.75,1292.1666666666667,1280.9166666666667,1280.1739130434785,1391.2727272727273,1370.3636363636365,1364.088888888889,1314.4166666666667,1399.8333333333333,1374.9166666666667,1198.8333333333333,1088.3333333333333,1010.4166666666666,925.75,714.0,436.5833333333333,Train
273,0,U,T,72862,1007994,252597,1007852,252505,72862,6124,0.28748,0.646812,44622,44618,-73.9144,40.8598,204,273,WB,SB,30.0,0.0524657,36.0,29.0,16.0,8.0,4.0,1.0,1.0,3.0,10.0,34.0,2.0,3.0,3.0,11026.120460075,6062.6664400225,4963.454020057499,8820.6130658975,1174.2874950425,2323.0777947775,21.2476627575,6891.325287555001,773.414924355,82.15762932749999,315655.27791925,0.0,1160.1223865375,3896.8213496525,226500.08499075,189.954105045,138180.6334635,158744.12147975,0.0,0.0,0.0,57714.31809175,0.0,325304.54983275,0.0,0.0,40893.25174225,124701.116210625,12827.922261875,0.0,115481.047084975,202263.584339,117887.6990198,98242.11003465,184946.739192,253745.2546885,0.0,81449.37390225,73130.20567735,171512.55028625,55.833333333333336,33.833333333333336,27.5,15.166666666666666,22.33333333333333,40.66666666666666,100.0,156.33333333333334,138.66666666666666,136.83333333333334,121.66666666666669,148.83333333333334,150.83333333333334,160.0,167.5,184.0,187.5,170.16666666666666,160.5,141.33333333333334,145.33333333333334,116.83333333333331,107.66666666666669,82.0,Train
294,0,U,T,69643,1003851,235308,1003918,235242,69643,6301,0.151023,0.0958768,42756,42758,-73.9291,40.8124,218,294,EB,SB,60.0,0.0287154,11.0,82.0,20.0,29.0,6.0,0.0,2.0,4.0,21.0,57.0,7.0,6.0,5.0,11128.612317575,4518.15195096,6610.460366622499,7928.92812294,1031.461030755,3556.238625035,57.7931631675,3366.6966407475,249.2942377275,66.119296845,133734.8488855,0.0,419.73509181250006,4052.3782376425,36264.720114575,70.5272499625,40100.12910405,0.0,0.0,0.0,0.0,72687.146996425,0.0,46459.33614265,0.0,0.0,0.0,26291.9710603,24400.9591706,66350.95926855,39447.2622693,54647.3539547,28315.2215437,35390.965851075,67405.439610075,11079.635060664998,0.0,0.0,25729.2223783025,11398.9667758,240.7,215.2,206.1,208.2,256.8,358.9,458.9,602.1,667.5,568.9,469.7,464.0,478.9,469.8,520.2,583.7,734.2,698.2,544.4,510.9,456.2,391.0,372.1,303.9,Train
