,From,To
0,0,523
1,0,1066
2,1,2
3,1,942
4,2,1
5,2,466
6,2,926
7,3,1177
8,4,391
9,4,784
10,4,1376
11,5,402
12,5,556
13,6,7
14,6,287
15,6,716
16,7,6
17,7,911
18,7,1139
19,7,1516
20,8,9
21,8,931
22,8,1767
23,9,8
24,9,332
25,10,401
26,10,586
27,11,12
28,11,417
29,12,11
30,12,948
31,13,14
32,13,19326
33,14,13
34,14,101
35,14,210
36,14,606
37,15,16
38,15,340
39,15,1231
40,16,15
41,18,19
42,18,597
43,18,1484
44,19,18
45,19,279
46,19,575
47,20,21
48,20,187
49,21,20
50,21,1657
51,22,23
52,22,446
53,22,859
54,22,865
55,23,22
56,23,619
57,24,84
58,24,715
59,25,26
60,26,25
61,26,628
62,27,28
63,27,979
64,27,980
65,27,1748
66,28,4
67,28,27
68,28,560
69,29,30
70,29,624
71,30,29
72,30,383
73,30,1739
74,31,213
75,31,411
76,32,666
77,32,880
78,33,308
79,33,317
80,34,35
81,34,468
82,35,34
83,35,490
84,35,612
85,36,981
86,37,38
87,37,726
88,38,37
89,38,579
90,38,585
91,38,970
92,39,40
93,39,313
94,39,348
95,39,444
96,40,39
97,40,427
98,41,42
99,41,338
100,41,1149
101,42,41
102,42,1172
103,43,44
104,43,1157
105,44,43
106,44,69
107,44,434
108,45,46
109,45,778
110,46,45
111,46,98
112,46,1661
113,47,48
114,48,47
115,49,527
116,50,51
117,50,733
118,51,50
119,51,316
120,51,1631
121,52,53
122,52,578
123,53,52
124,54,1634
125,55,56
126,55,194
127,55,867
128,56,55
129,56,179
130,56,988
131,56,1406
132,57,58
133,57,1601
134,58,57
135,58,171
136,59,248
137,59,675
138,60,569
139,61,62
140,61,322
141,61,661
142,62,61
143,62,787
144,63,64
145,63,319
146,64,63
147,64,997
148,65,599
149,65,604
150,65,955
151,66,735
152,66,1717
153,67,17050
154,68,43
155,68,69
156,68,434
157,69,68
158,69,469
159,69,1068
160,70,456
161,70,765
162,71,72
163,71,576
164,72,71
165,72,962
166,73,745
167,74,75
168,74,1594
169,74,1746
170,75,74
171,75,442
172,75,588
173,76,487
174,76,763
175,76,814
176,77,137
177,77,770
178,78,47
179,79,664
180,80,81
181,81,80
182,81,936
183,81,1289
184,81,1300
185,82,280
186,82,821
187,82,1582
188,83,708
189,84,339
190,84,1173
191,85,86
192,85,870
193,86,85
194,86,635
195,87,88
196,87,1448
197,88,87
198,89,90
199,90,89
200,90,166
201,90,961
202,91,748
203,91,1709
204,92,1042
205,93,666
206,93,880
207,94,1184
208,95,223
209,96,114
210,96,1094
211,97,131
212,97,640
213,98,161
214,98,378
215,98,884
216,99,1280
217,100,768
218,100,848
219,100,1604
220,101,221
221,102,699
222,102,1215
223,103,104
224,103,927
225,104,103
226,104,399
227,105,106
228,105,649
229,106,105
230,106,1236
231,107,1194
232,108,109
233,108,740
234,109,108
235,109,463
236,109,607
237,109,609
238,110,111
239,110,408
240,111,110
241,111,113
242,111,1394
243,111,1397
244,112,370
245,113,289
246,114,1045
247,114,1744
248,115,116
249,115,261
250,115,1282
251,116,115
252,116,737
253,117,97
254,117,199
255,118,1038
256,120,786
257,120,900
258,121,535
259,122,0
260,122,1477
261,123,798
262,123,1055
263,124,125
264,125,124
265,125,710
266,126,811
267,127,1067
268,127,1773
269,128,255
270,128,663
271,129,992
272,130,519
273,130,796
274,131,767
275,131,1108
276,132,315
277,132,379
278,133,1646
279,134,1136
280,134,1191
281,135,1064
282,136,913
283,137,1016
284,138,231
285,138,528
286,139,388
287,140,362
288,140,499
289,141,488
290,142,673
291,142,1044
292,143,144
293,143,1132
294,144,143
295,144,458
296,145,1074
297,146,1110
298,147,1
299,147,466
300,147,926
301,148,149
302,148,1656
303,149,148
304,149,696
305,150,651
306,151,395
307,152,1616
308,153,154
309,153,6794
310,154,153
311,155,156
312,155,656
313,156,155
314,156,193
315,156,260
316,157,436
317,157,1566
318,158,3
319,159,160
320,159,729
321,159,969
322,160,159
323,160,561
324,160,972
325,160,1542
326,161,162
327,161,224
328,162,161
329,162,378
330,162,884
331,163,164
332,163,203
333,163,1787
334,164,163
335,164,882
336,164,883
337,165,89
338,165,166
339,165,961
340,166,165
341,166,173
342,167,168
343,167,613
344,168,167
345,168,229
346,168,645
347,169,96
348,169,967
349,170,57
350,170,171
351,171,170
352,171,731
353,172,165
354,172,173
355,173,172
356,173,591
357,174,175
358,174,1103
359,174,1736
360,175,174
361,175,239
362,175,1060
363,176,177
364,176,377
365,176,1488
366,177,176
367,177,286
368,178,55
369,178,179
370,178,988
371,178,1406
372,179,92
373,179,178
374,179,302
375,179,418
376,179,1124
377,180,181
378,180,816
379,181,10
380,181,180
381,181,727
382,182,120
383,182,1264
384,183,184
385,183,1517
386,184,183
387,184,354
388,185,186
389,185,1491
390,186,185
391,186,421
392,187,188
393,187,1560
394,187,1564
395,187,1658
396,188,21
397,188,187
398,189,1017
399,190,452
400,190,513
401,190,646
402,191,190
403,192,155
404,192,193
405,192,260
406,193,192
407,193,342
408,193,983
409,194,195
410,194,277
411,194,1071
412,195,56
413,195,194
414,195,867
415,196,1045
416,196,1744
417,197,1121
418,198,76
419,199,767
420,199,1108
421,200,571
422,200,749
423,201,202
424,201,935
425,201,1298
426,202,201
427,202,405
428,203,1106
429,204,861
430,204,1269
431,205,2
432,205,942
433,206,419
434,206,524
435,207,589
436,208,369
437,208,1210
438,209,13
439,209,101
440,209,210
441,209,606
442,210,209
443,211,212
444,211,1018
445,212,211
446,212,464
447,212,741
448,213,570
449,214,45
450,214,98
451,214,1661
452,215,1367
453,216,394
454,217,638
455,217,1084
456,218,376
457,218,1061
458,219,1712
459,220,344
460,220,1054
461,220,1720
462,221,500
463,221,904
464,222,739
465,222,1129
466,223,107
467,224,225
468,224,450
469,224,489
470,225,162
471,225,224
472,226,916
473,226,1026
474,227,705
475,227,917
476,228,167
477,228,229
478,228,645
479,229,169
480,229,228
481,229,1790
482,230,1186
483,231,514
484,231,662
485,232,544
486,232,698
487,233,234
488,233,235
489,233,752
490,234,233
491,234,817
492,234,944
493,235,232
494,236,807
495,237,1350
496,238,670
497,239,1080
498,239,1734
499,240,538
500,240,672
501,241,993
502,242,521
503,242,907
504,243,244
505,244,246
506,244,1116
507,245,877
508,245,1731
509,246,526
510,247,245
511,247,1728
512,248,676
513,248,1798
514,249,902
515,249,1057
516,249,1336
517,250,195
518,250,277
519,250,1071
520,251,658
521,252,542
522,252,703
523,253,1072
524,254,1183
525,255,541
526,256,374
527,256,1120
528,257,70
529,257,700
530,258,1212
531,259,704
532,260,371
533,260,1750
534,261,262
535,261,266
536,261,404
537,261,1284
538,262,116
539,262,261
540,262,1282
541,263,264
542,263,331
543,264,263
544,264,555
545,264,1138
546,265,1296
547,266,1711
548,267,268
549,267,565
550,268,267
551,268,498
552,268,1259
553,269,124
554,269,710
555,270,271
556,271,270
557,271,1494
558,272,273
559,272,949
560,273,272
561,273,549
562,274,853
563,275,276
564,275,762
565,276,275
566,276,1009
567,277,278
568,277,654
569,278,195
570,278,277
571,278,1071
572,279,1596
573,280,281
574,280,284
575,280,881
576,281,280
577,281,821
578,281,1582
579,282,283
580,283,282
581,284,1089
582,285,176
583,285,286
584,286,285
585,287,288
586,287,477
587,287,717
588,288,7
589,288,287
590,288,716
591,289,431
592,289,841
593,289,971
594,290,4
595,290,27
596,290,560
597,292,254
598,292,293
599,292,695
600,293,292
601,293,785
602,293,1268
603,294,295
604,294,403
605,294,975
606,295,294
607,295,305
608,295,832
609,296,288
610,296,477
611,296,717
612,297,17
613,297,1147
614,298,299
615,298,1175
616,299,298
617,299,1174
618,300,301
619,300,445
620,300,1076
621,301,300
622,301,473
623,302,303
624,302,345
625,302,721
626,302,998
627,303,92
628,303,178
629,303,302
630,303,418
631,303,1124
632,304,294
633,304,305
634,304,832
635,305,304
636,305,720
637,306,307
638,306,622
639,306,1576
640,307,306
641,307,1487
642,308,309
643,308,587
644,309,308
645,309,317
646,310,311
647,310,632
648,311,94
649,311,310
650,311,779
651,312,40
652,312,313
653,312,348
654,312,444
655,313,312
656,313,946
657,313,976
658,314,213
659,314,411
660,315,82
661,315,447
662,316,308
663,316,317
664,317,50
665,317,316
666,317,1631
667,318,18
668,318,279
669,318,575
670,319,320
671,319,453
672,320,64
673,320,319
674,321,123
675,321,461
676,322,323
677,322,984
678,322,996
679,323,62
680,323,322
681,323,661
682,324,1188
683,324,1671
684,325,551
685,326,207
686,326,747
687,328,326
688,328,486
689,329,617
690,329,756
691,330,205
692,331,8
693,331,332
694,332,264
695,332,331
696,333,257
697,333,334
698,334,1764
699,335,141
700,336,337
701,336,567
702,337,336
703,337,820
704,338,339
705,338,1173
706,339,42
707,339,338
708,339,1149
709,340,341
710,341,16
711,341,340
712,341,1231
713,342,343
714,342,448
715,343,192
716,343,342
717,343,983
718,344,303
719,344,345
720,344,721
721,344,998
722,345,344
723,345,1054
724,345,1720
725,346,347
726,346,1024
727,347,346
728,347,1179
729,348,349
730,348,1029
731,349,40
732,349,313
733,349,348
734,349,444
735,350,129
736,350,642
737,351,908
738,352,873
739,352,1249
740,353,183
741,353,354
742,354,353
743,354,1684
744,355,1506
745,356,614
746,356,825
747,356,1770
748,357,62
749,357,322
750,357,661
751,358,359
752,358,496
753,358,782
754,359,251
755,359,358
756,360,361
757,360,497
758,360,1257
759,361,360
760,361,602
761,362,335
762,362,506
763,363,641
764,363,1127
765,364,95
766,365,366
767,365,887
768,366,205
769,367,368
770,367,888
771,368,1002
772,369,897
773,370,776
774,372,241
775,372,350
776,373,1334
777,374,688
778,374,1123
779,374,1253
780,374,1345
781,375,1669
782,376,1666
783,377,161
784,377,378
785,377,884
786,378,177
787,378,377
788,378,1488
789,379,514
790,379,662
791,380,218
792,381,384
793,382,1702
794,382,1704
795,382,1741
796,383,875
797,384,625
798,384,862
799,384,1265
800,385,119
801,385,386
802,385,1085
803,386,385
804,386,915
805,387,247
806,387,1726
807,388,369
808,388,1210
809,389,245
810,389,1728
811,390,351
812,390,921
813,391,1363
814,391,1378
815,392,1100
816,392,1122
817,392,1142
818,392,1143
819,392,1144
820,393,6
821,393,911
822,393,1139
823,393,1516
824,394,546
825,395,150
826,396,151
827,397,152
828,398,103
829,398,399
830,399,398
831,399,407
832,399,430
833,399,552
834,400,158
835,400,938
836,401,562
837,401,1538
838,402,295
839,402,403
